LocationType,SampleDate,NO3median_mgL,num_samples,HPU,median_ht_above_C_cm,sdWLs,wells_included
G4,2014-06-06,0.500095502185848,1,bimodal,4.150000000000006,NA,1
G4,2014-06-13,0.338658237664401,1,bimodal,3.5,NA,1
G4,2014-06-14,0.317941785703807,1,bimodal,3.950000000000003,NA,1
G4,2014-06-16,0.0845814371821072,1,bimodal,13.5,NA,1
G4,2014-07-16,0.191776372468281,1,bimodal,3.9000000000000057,NA,1
G5,2010-03-25,0.11,1,Bh,71.6,3.5355339059327275,2
G5,2010-06-28,0.124067011500656,1,Bh,52.7,NA,1
G5,2010-08-26,0.06579597379900065,2,Bh,22.799999999999997,11.949332517720295,7
G5,2010-09-30,0.0546105256549271,1,Bh,40.6,21.889124011709562,9
G5,2011-04-07,0.307897158169564,3,Bh,56.300000000000004,13.35535421136823,9
G5,2011-04-08,0.1019029688675488,2,Bh,46.6,12.955640127415979,9
G5,2011-04-14,0.780587751130807,5,Bh,73.525,21.18132235406153,6
G5,2011-05-24,0.4022031542095535,2,Bh,52.47500000000001,15.931177504085086,6
G5,2011-08-16,0.43040488205027705,2,Bh,21.200000000000003,14.82370491047118,11
G5,2011-08-29,0.220135784622486,1,Bh,32.675,17.93732934667001,12
G5,2011-11-04,0.3876817168052175,2,Bh,48,16.429365339371614,11
G5,2011-11-07,0.16802048241141,1,Bh,44,17.619049608049494,11
G5,2012-02-01,0.2327644314132975,2,Bh,43.3,12.941730570194817,12
G5,2012-02-02,0.525954067005055,1,Bh,41.325,13.043780446378774,12
G5,2012-02-08,0.642413144744702,1,Bh,37.55,14.429536207082856,12
G5,2012-03-22,0.363905176027365,7,Bh,66.525,24.48611232861797,12
G5,2012-04-24,0.164085770369948,6,Bh,49.3,14.164709668750715,11
G5,2012-07-31,0.188856989310183,1,Bh,18,14.803014426498112,9
G5,2012-08-10,0.23082416524153898,4,Bh,15.350000000000009,8.001032919428456,9
G5,2012-10-09,0.201892954637798,1,Bh,55.900000000000006,18.472007726407117,9
G5,2012-10-22,0.2670221631859,1,Bh,75.8,17.21602209183836,6
G5,2012-10-29,0.204320527169621,3,Bh,54.99999999999999,21.466075949429285,6
G5,2012-10-30,0.192448391305124,3,Bh,54.099999999999994,22.61473892545891,6
G5,2012-11-06,0.10315984362838365,2,Bh,60.900000000000006,17.108473951594302,7
G5,2012-11-21,0.198725615877038,2,Bh,44.2,18.170807006644676,11
G5,2012-12-03,0.3910768902787875,2,Bh,38.2,14.540101287630199,11
G5,2012-12-18,0.249554856949012,2,Bh,51.900000000000006,18.12728982400944,11
G5,2013-01-02,0.256892546318613,2,Bh,48.400000000000006,19.59409929730701,11
G5,2013-01-14,1.0483682340338871,2,Bh,49.25,14.794364713387568,11
G5,2013-01-28,0.33366471460858,2,Bh,42.25,15.372216673419137,11
G5,2013-01-31,0.6514015833785864,2,Bh,45.900000000000006,14.712142480401562,11
G5,2013-02-13,0.343380248648639,2,Bh,47.6,18.81011816694795,11
G5,2013-02-26,0.3916920516932145,2,Bh,39.54999999999998,14.386957477331523,11
G5,2013-03-11,0.458272281265896,3,Bh,31.35000000000001,16.70147380540793,11
G5,2013-03-12,0.700043510178193,5,Bh,34.400000000000006,17.738890249187726,11
G5,2013-03-13,1.41661663291756,8,Bh,36.900000000000006,17.84508463007518,11
G5,2013-03-27,0.426040652284133,5,Bh,53.800000000000004,18.425862506024217,11
G5,2013-04-01,0.422705951105691,5,Bh,59.050000000000004,14.4275305012201,11
G5,2013-04-11,0.712721776836927,4,Bh,70.35,20.735440675326867,11
G5,2013-06-27,0.188186151506077,3,Bh,52.45,18.216598048056184,9
G5,2013-06-28,0.12071309107520695,2,Bh,54.300000000000004,18.267265425101563,9
G5,2013-08-20,0.2231253199729705,2,Bh,18.599999999999994,14.721752613055278,5
G5,2013-09-03,0.292376174390376,3,Bh,13.2,9.96042167782068,4
G5,2013-11-07,0.905241892758173,1,Bh,53.699999999999996,15.2939203607185,6
G5,2014-06-05,1.2997399163943164,2,Bh,46.60000000000001,31.8283953412672,5
G5,2014-06-06,0.842089464190059,1,Bh,45.60000000000001,31.03992590197341,5
G5,2014-06-13,0.910190599677795,4,Bh,25.824999999999996,27.088696904797757,4
G5,2014-06-14,0.9476229920804745,4,Bh,33,19.708132839008368,5
G5,2014-06-16,0.921079860094856,4,Bh,60.050000000000004,23.91576362987391,5
G5,2014-07-16,0.410623571736122,3,Bh,41.25,19.5237227495168,5
G5,2014-09-22,0.315098206496519,3,Bh,11.650000000000006,7.641204093596775,5
G5,2019-06-06,0.27,1,Bh,90.19999999999999,NA,1
G5,2019-06-18,0.38,1,Bh,78.99999999999999,NA,1
G5,2019-06-25,0.2,2,Bh,83.39999999999999,NA,1
G5,2019-07-02,0.2,1,Bh,75.49999999999999,NA,1
G5,2019-07-08,0.21,1,Bh,62.89999999999999,NA,1
G5,2019-07-12,0.155,2,Bh,79.24999999999999,NA,1
G5,2019-07-16,0.16,1,Bh,59.44999999999999,NA,1
G5,2019-07-23,0.17,1,Bh,41.94999999999999,NA,1
G5,2019-07-30,0.18,1,Bh,12,NA,1
G5,2020-01-28,0.258315539324942,1,Bh,73.79999999999998,NA,1
G6,2010-09-30,0.19190409351405602,4,riparian,57.150000000000006,13.849037270992275,4
G6,2011-04-14,0.337782617385907,1,riparian,60.525,12.69256672229853,2
G6,2011-05-24,0.0428250399598642,1,riparian,51.900000000000006,19.091883092036785,2
